# COPY 블록 211개 · created_by 보유 163개 · 그중 테넌트성 159개

table                                        tenant     total   null_cb     pct
--------------------------------------------------------------------------------
surveillance_missionwaypoint                      Y      8877      8877  100.0%
orders_orderhistory                               Y      5882      5696   96.8%
terminals_terminal                                Y      5686      3399   59.8%
orders_deliveryevent                              Y      3033      3033  100.0%
delivery_deliveryoperationapprovalchecklist       Y      3013      3013  100.0%
terminals_routeterminal                           Y      2062      1807   87.6%
advanced_table_gridsetting                        Y      1088       903   83.0%
advanced_table_gridsettinguser                    Y      3230       896   27.7%
user_timezone                                     Y       598       598  100.0%
delivery_deliveryoperationhistory                 Y       856       280   32.7%
orders_orderassignment                            Y       261       261  100.0%
user_country                                      Y       238       238  100.0%
menu_roletab                                      Y       375       162   43.2%
user_coreuser                                     .       103       103  100.0%
terminals_terminaloperatingtime                   Y        98        98  100.0%
surveillance_surveillanceprofilechecklistitem      Y       231        72   31.2%
advanced_table_usergridmanagement                 Y        77        64   83.1%
menu_usermenu                                     Y        60        60  100.0%
surveillance_videoanalysis                        Y       117        39   33.3%
file_management_usermediafile                     Y      1094        37    3.4%
user_currencyformat                               Y        31        31  100.0%
menu_tab                                          Y        27        27  100.0%
devices_frametype                                 Y        24        24  100.0%
surveillance_surveillanceprofiledrone             Y       127        23   18.1%
dashboard_dashboardpanel                          Y        26        18   69.2%
devices_protocol                                  Y        17        17  100.0%
stream_monitors_streammonitor                     Y        39        15   38.5%
orders_orderitemtype                              Y        23        15   65.2%
execution_engine_functionexecution                Y        15        15  100.0%
delivery_deliverystatus                           Y        14        14  100.0%
devices_frameclass                                Y        14        14  100.0%
configuration_adminconfig                         Y        12        11   91.7%
surveillance_surveillanceprofilechecklist         Y        83        10   12.0%
terminals_function                                Y        10        10  100.0%
terminals_terminaltype                            Y         9         9  100.0%
user_dateformat                                   Y         8         8  100.0%
devices_packagetype                               Y         7         7  100.0%
orders_orderstatus                                Y         7         7  100.0%
surveillance_surveillancestatus                   Y         7         7  100.0%
terminals_dayofweek                               Y         7         7  100.0%
user_weekday                                      Y         7         7  100.0%
menu_rolemenu                                     Y       969         6    0.6%
menu_menu                                         Y       131         6    4.6%
devices_batterytype                               Y         6         6  100.0%
devices_gnsssystem                                Y         6         6  100.0%
devices_imagestabilization                        Y         6         6  100.0%
devices_motortype                                 Y         6         6  100.0%
operation_settings_operationsettings              Y        35         5   14.3%
devices_devicestatus                              Y         5         5  100.0%
user_notificationchannel                          Y         5         5  100.0%
user_numberformat                                 Y         5         5  100.0%
report_template                                   Y        19         4   21.1%
devices_devicetype                                Y         4         4  100.0%
orders_paymenttype                                Y         4         4  100.0%
stream_monitors_aimodel                           Y         4         4  100.0%
surveillance_surveillanceprofilerepeattype        Y         4         4  100.0%
terminals_deactivatereason                        Y         4         4  100.0%
terminals_locationtype                            Y         4         4  100.0%
user_privacylevel                                 Y         4         4  100.0%
user_timeformat                                   Y         4         4  100.0%
role_role                                         Y        15         3   20.0%
checklist_setting_category                        Y         3         3  100.0%
operational_data_operationaldata                  Y         3         3  100.0%
surveillance_missionpurpose                       Y         3         3  100.0%
surveillance_surveillanceprofilerepeatuntiltype      Y         3         3  100.0%
surveillance_surveymissionstatus                  Y         3         3  100.0%
terminals_purposetype                             Y         3         3  100.0%
terminals_terminalpurpose                         Y         3         3  100.0%
user_language                                     Y         3         3  100.0%
advanced_table_gridsettingcategory                Y         2         2  100.0%
delivery_deliverycancellationtype                 Y         2         2  100.0%
execution_engine_functype                         .         2         2  100.0%
flight_log_droneanomalyprediction                 Y         2         2  100.0%
handover_handovershift                            Y         2         2  100.0%
orders_deliveryoption                             Y         2         2  100.0%
terminals_routeservice                            Y         2         2  100.0%
terminals_terminalexception                       Y         2         2  100.0%
user_gender                                       Y         2         2  100.0%
user_nationality                                  Y         2         2  100.0%
user_theme                                        Y         2         2  100.0%
user_profile_link                                 Y       101         1    1.0%
user_settings                                     Y        94         1    1.1%
user_usergroup                                    Y        10         1   10.0%
delivery_address                                  Y      1353         0    0.0%
delivery_terminalsequence                         Y       875         0    0.0%
devices_packagingoptionspecification              Y       693         0    0.0%
devices_packagingoption                           Y       359         0    0.0%
flight_log_flightlog                              Y       308         0    0.0%
delivery_deliveryoperation                        Y       304         0    0.0%
orders_order                                      Y       304         0    0.0%
orders_orderitem                                  Y       304         0    0.0%
delivery_deliveryoperationitem                    Y       285         0    0.0%
delivery_deliveryoperationapproval                Y       256         0    0.0%
orders_productitem                                Y       247         0    0.0%
terminals_routes                                  Y        97         0    0.0%
orders_orderstatusmapping                         Y        84         0    0.0%
task_status_taskstatus                            Y        84         0    0.0%
surveillance_surveillanceprofile                  Y        81         0    0.0%
checklist_setting                                 Y        77         0    0.0%
orders_payment                                    Y        64         0    0.0%
devices_packagingspecificationdevice              Y        45         0    0.0%
devices_cargocompartments                         Y        44         0    0.0%
devices_dimensionsandweight                       Y        44         0    0.0%
devices_environmentalspecification                Y        44         0    0.0%
devices_navigationcontrol                         Y        44         0    0.0%
devices_safetyfeature                             Y        44         0    0.0%
devices_sensorsuite                               Y        44         0    0.0%
devices_telemetry                                 Y        44         0    0.0%
devices_propulsionsystem                          Y        43         0    0.0%
devices_flightperformance                         Y        41         0    0.0%
devices_insuranceinformation                      Y        40         0    0.0%
devices_manufacturerinformation                   Y        40         0    0.0%
devices_radiocommunication                        Y        40         0    0.0%
surveillance_surveymission                        Y        39         0    0.0%
orders_externalorderstatus                        Y        38         0    0.0%
devices_device                                    Y        31         0    0.0%
dashboard_dashboard                               Y        21         0    0.0%
operational_data_operationaldatauploadstatus      Y        21         0    0.0%
dashboard_weathersetting                          Y        20         0    0.0%
devices_packagingspecification                    Y        15         0    0.0%
handover_handovernotice                           Y        15         0    0.0%
devices_library                                   Y        13         0    0.0%
handover_handovercontent                          Y        13         0    0.0%
devices_cameratype                                Y        12         0    0.0%
handover_handoverdocument                         Y        11         0    0.0%
devices_devicecamera                              Y         8         0    0.0%
file_management_usermediafileitem                 Y         8         0    0.0%
partner_partner                                   Y         6         0    0.0%
advanced_table_searchconditionsuser               Y         4         0    0.0%
print_format_printformat                          Y         4         0    0.0%
delivery_deliverycancellation                     Y         3         0    0.0%
handover_handovernoticecomment                    Y         3         0    0.0%
operational_data_operationalnotice                Y         3         0    0.0%
stream_monitors_drawingsession                    .         1         0    0.0%
--------------------------------------------------------------------------------
테넌트성 표 합계 : NULL 29971 / 45499 (65.9%)   ← 실제 노출 후보
created_by 보유 전체: NULL 30076 / 45605 (65.9%)
